,Nr. of Sect. Chd,min. Chd Diameter,max. Chd Diameter,initial $\mu$ 3D,initial $\sigma$ 3D,$\mu$ Fit 3D,$\sigma$ Fit 3D,mean 3D,median 3D,mode 3D,$\mu$ Fit 2D,$\sigma$ Fit 2D,mean 2D,median 2D,mode 2D
6454,7997,140,4000,6.6,0.4,6.600247529029869,0.3996715148823824,796.4116408600106,735.2771691627547,626.7264798820821,6.45593700625913,0.5664776003189368,747.2392702594607,636.4698231439261,461.7576261028008
6455,7997,160,4000,6.6,0.4,6.600315420756831,0.39954592326035016,796.4257408315301,735.3270900941549,626.8319459775547,6.45593700625913,0.5664776003189368,747.2392702594607,636.4698231439261,461.7576261028008
6456,7997,180,4000,6.6,0.4,6.600516030085427,0.39920825309314784,796.478108820254,735.4746183652761,627.1268299178789,6.45593700625913,0.5664776003189368,747.2392702594607,636.4698231439261,461.7576261028008
6457,7996,200,4000,6.6,0.4,6.60099522355783,0.39846808693187036,796.6246638840228,735.827137457193,627.7979677185306,6.4560997324705145,0.5663260939764584,747.296744688767,636.5734018941672,461.9120420356164
6458,7993,220,4000,6.6,0.4,6.601860383657041,0.3972471638739477,796.9269658439041,736.4640211999124,628.9520831904215,6.456544729484199,0.5659634688481867,747.4758922091448,636.8567381942295,462.30742016841225
6459,7990,240,4000,6.6,0.4,6.6033344328972765,0.3953399862949125,797.4995618696562,737.5504059264036,630.8327223653135,6.456981159776195,0.56561803404585,747.656045496389,637.1347424267603,462.6900536418153
6460,7980,260,4000,6.6,0.4,6.605623342581845,0.3926158052261056,798.469625784203,739.2405257212762,633.6369599596215,6.458842990538196,0.5632714842988036,748.0578937570205,638.3220844617283,464.7818824381058
6461,7972,280,4000,6.6,0.4,6.6089580837680835,0.38896632688915955,799.9950062771685,741.7098164834264,637.5694933796187,6.459825764258421,0.5626818621517738,748.5449108952297,638.9497189922215,465.54785099324295
6462,7960,300,4000,6.6,0.4,6.613274289257061,0.3846101206956106,802.1027859828256,744.9181073050166,642.4887740465022,6.461672612239487,0.5607321953013651,749.1078084414031,640.1308523418935,467.4311276737231
6463,7943,320,4000,6.6,0.4,6.618843390073487,0.37941788743444904,804.9839640022892,749.0782045931095,648.644925469545,6.463949232006193,0.5588318817555255,750.01692132267,641.5898470515478,469.4943009109274
6464,7920,340,4000,6.6,0.4,6.625684784267156,0.3735120575894629,808.7100220771949,754.220514098819,656.0083562851008,6.4666535869375785,0.5571691044715793,751.3505289165299,643.3272819798073,471.6400911451197
6465,7881,360,4000,6.6,0.4,6.633846067742609,0.3669726504792419,813.3654616295413,760.4011080011928,664.5945407470392,6.471486049458315,0.5535214008610388,753.4623274467858,646.4436607857812,475.8487769380194
6466,7842,380,4000,6.6,0.4,6.643162037150429,0.3600273170955607,818.908103384627,767.5180807393353,674.2104942038586,6.475879583401155,0.550827842592529,755.6552392967294,649.2900812954028,479.3678569364361
6467,7781,400,4000,6.6,0.4,6.653549791106185,0.35280524859786244,825.3318623338889,775.5324231614549,684.7667351691043,6.481671141156754,0.5483840325511873,759.0242028766936,653.0613926436246,483.4491283743237
6468,8129,0,4000,6.6,0.45,6.599915069558456,0.4498993221871863,813.3160420436113,735.0327599340853,600.3457080995271,6.500645256859551,0.6222771904666987,807.7557375029618,665.5709587434366,451.87986318236767
6469,8129,20,4000,6.6,0.45,6.599915069558456,0.4498993221871863,813.3160420436113,735.0327599340853,600.3457080995271,6.500645256859551,0.6222771904666987,807.7557375029618,665.5709587434366,451.87986318236767
6470,8129,40,4000,6.6,0.45,6.599915069558456,0.4498993221871863,813.3160420436113,735.0327599340853,600.3457080995271,6.500645256859551,0.6222771904666987,807.7557375029618,665.5709587434366,451.87986318236767
6471,8129,60,4000,6.6,0.45,6.599915069558456,0.4498993221871863,813.3160420436113,735.0327599340853,600.3457080995271,6.500645256859551,0.6222771904666987,807.7557375029618,665.5709587434366,451.87986318236767
6472,8129,80,4000,6.6,0.45,6.599919621442458,0.44988825726830217,813.3156954455665,735.0361057255612,600.3544179545763,6.500645256859551,0.6222771904666987,807.7557375029618,665.5709587434366,451.87986318236767
6473,8129,100,4000,6.6,0.45,6.599925689812985,0.4498752882115884,813.3158856218172,735.0405662105354,600.365066808477,6.500645256859551,0.6222771904666987,807.7557375029618,665.5709587434366,451.87986318236767
